,Product Name,Product Price,Product Size,Product Photo
0,BDG Men's Brown Shorts,£45.00,"32""","['https://media-photos.depop.com/b1/14529194/1521695814_3fbbae83ff6e46a4b685ee9a9bd139c6/P0.jpg', 'https://media-photos.depop.com/b1/14529194/1521695935_7a7df3e52e2445749bc7fc73a278deb3/P0.jpg', 'https://media-photos.depop.com/b1/14529194/1521695946_9c2ea9d058914e9b8bcd6b74337e8557/P0.jpg', 'https://media-photos.depop.com/b1/14529194/1521695990_537c6d8d8f694b3fb7cb77284ad7e072/P0.jpg']"
1,Tommy Hilfiger Men's Black and Orange T-shirt,£8.00,L,"['https://media-photos.depop.com/b1/38068295/1521693550_5aeab00402ae48ba89f20b16812fe52f/P0.jpg', 'https://media-photos.depop.com/b1/38068295/1521693559_c851e8ad3eae4739a7103588c4b7fc0d/P0.jpg']"
2,Goyard Men's Black Wallet-purses,£27.50,Goyard,"['https://media-photos.depop.com/b1/15303658/1521672589_4beae1c50dfd472da10820c366d4171c/P0.jpg', 'https://media-photos.depop.com/b1/15303658/1521672606_0311eed4efc149d2b5353d13d2b2dd53/P0.jpg', 'https://media-photos.depop.com/b1/15303658/1521672623_f2507a13fc9c42c7957b86807df0c392/P0.jpg']"
3,Lyle & Scott Men's Black T-shirt,£10.00,L,"['https://media-photos.depop.com/b1/38068295/1521696364_68c70d164a0a45dfa675c356801389d2/P0.jpg', 'https://media-photos.depop.com/b1/38068295/1521696376_70c9258e349645f5b4e2059c02a55d2b/P0.jpg', 'https://media-photos.depop.com/b1/38068295/1521696400_e3aae55a4d434c7c870125cf131a0092/P0.jpg']"
4,Adidas Men's Black and Grey Trainers,£30.00,UK 11.5,"['https://media-photos.depop.com/b1/40759636/1521681625_07a638bd6b1e4cbd82aeae1356dd3a59/P0.jpg', 'https://media-photos.depop.com/b1/40759636/1521681649_18c2e29007754b51abefc5dac35146d3/P0.jpg', 'https://media-photos.depop.com/b1/40759636/1521681660_875403ae031f4902bc3fd5dee4a2176f/P0.jpg', 'https://media-photos.depop.com/b1/40759636/1521681670_992fbbc9f62749debc85f9bd2cf7aec5/P0.jpg']"
5,Nike Men's Black Trainers,£40.00,UK 11,"['https://media-photos.depop.com/b1/40759636/1521682242_dd8843a78c8e45efb95bb5e0e02daaa3/P0.jpg', 'https://media-photos.depop.com/b1/40759636/1521682285_bb09952eb50340dca4727c3a5479d6da/P0.jpg', 'https://media-photos.depop.com/b1/40759636/1521682301_3415ac914ac34f968227a256d39492ec/P0.jpg', 'https://media-photos.depop.com/b1/40759636/1521682765_053f6100fd6f47e1b3b7b000766baf45/P0.jpg']"
6,GANT Men's Green Shirt,£40.00,M,"['https://media-photos.depop.com/b1/5685254/1521690422_8d6c453ce4824cee9d34acc8256804f5/P0.jpg', 'https://media-photos.depop.com/b1/5685254/1521690439_fe12fc7c1af0405897e6855cd587848f/P0.jpg', 'https://media-photos.depop.com/b1/5685254/1521690730_bbc4b703a9e14d8785d2d4d437a6ccc8/P0.jpg']"
7,Men's Orange T-shirt,£18.00,L,"['https://media-photos.depop.com/b1/38068295/1521692975_72ce182b38f643faa61e43edbc95e8b5/P0.jpg', 'https://media-photos.depop.com/b1/38068295/1521692984_7dcd46e1e55a4e1d8720191eb83cc916/P0.jpg', 'https://media-photos.depop.com/b1/38068295/1521693230_9f95e4c5c19d40c5ae8a99ea1a7885ab/P0.jpg']"
8,Moncler Men's Black Hat,£18.00,Moncler,['https://media-photos.depop.com/b1/15303658/1521671238_3ffdbe4b4d9940b99fba51d3c2405f18/P0.jpg']
9,Moncler Men's Navy Hat,£17.50,Moncler,['https://media-photos.depop.com/b1/15303658/1521671041_618739a1f9ed4a7e81b298edec0108cf/P0.jpg']
